ID	Group	description	Class
P31492	1	YOPE_YEREN Outer membrane virulence protein yopE OS=Yersinia enterocolitica GN=yopE PE=2 SV=1	1
P08008	1	YOPE_YERPS Outer membrane virulence protein yopE OS=Yersinia pseudotuberculosis GN=yopE PE=1 SV=2	1
P13835	2	AVRB_PSESG Avirulence protein B OS=Pseudomonas syringae pv. glycinea GN=avrB PE=1 SV=1	1
Q5ZV40	3	Q5ZV40_LEGPH Leucine-rich repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legL2 PE=4 SV=1	1
Q5ZU75	3	Q5ZU75_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1933 PE=4 SV=1	1
Q5ZU60	3	Q5ZU60_LEGPH Leucine-rich repeat-and coiled coil-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legLC4 PE=4 SV=1	1
Q5ZSW6	3	Q5ZSW6_LEGPH Leucine-rich repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legL7 PE=1 SV=1	1
Q5ZU50	3	Q5ZU50_LEGPH Leucine-rich repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legL5 PE=4 SV=1	1
B5C6I0	4	B5C6I0_SALET Leucine-rich repeat protein OS=Salmonella enterica subsp. enterica serovar Saintpaul str. SARA23 GN=SeSPA_A2856 PE=4 SV=1	1
A1JU68	4	A1JU68_YERE8 Yop type III secretion system effector protein OS=Yersinia enterocolitica serotype O:8 / biotype 1B (strain 8081) GN=yopM PE=4 SV=1	1
P17778	4	YOPM_YERPE Outer membrane protein yopM OS=Yersinia pestis GN=yopM PE=1 SV=2	1
Q663L9	4	Q663L9_YERPS YopM; putative targeted effector protein OS=Yersinia pseudotuberculosis GN=pYV0047 PE=4 SV=1	1
Q887D0	5	HOPM1_PSESM Effector protein hopM1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopM1 PE=1 SV=1	1
Q5ZST3	6	Q5ZST3_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2433 PE=4 SV=1	1
Q5ZZ85	6	Q5ZZ85_LEGPH Ninein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0126 PE=4 SV=1	1
Q5ZWG5	6	Q5ZWG5_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1120 PE=4 SV=1	1
Q888Y1	7	Q888Y1_PSESM Type III effector HopR1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopR1 PE=4 SV=1	1
Q5ZSJ0	8	Q5ZSJ0_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2527 PE=4 SV=1	1
Q5ZYD5	8	Q5ZYD5_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0437 PE=4 SV=1	1
Q5ZU42	9	Q5ZU42_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1966 PE=4 SV=1	1
Q5ZU43	9	Q5ZU43_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1965 PE=4 SV=1	1
Q5ZU39	10	Q5ZU39_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1969 PE=4 SV=1	1
Q5ZUU0	10	Q5ZUU0_LEGPH Tpr OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1702 PE=4 SV=1	1
Q5ZUU1	10	Q5ZUU1_LEGPH Kinectin 1 (Kinesin receptor) OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legC3 PE=4 SV=1	1
Q5ZYT5	11	Q5ZYT5_LEGPH Ras GEF OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legG2 PE=4 SV=1	1
Q5ZT43	12	Q5ZT43_LEGPH Cardiac ankyrin repeat protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA5 PE=4 SV=1	1
Q5ZT65	13	Q5ZT65_LEGPH Ankyrin repeat domain protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA3 PE=4 SV=1	1
Q5ZV52	14	Q5ZV52_LEGPH Coiled-coil-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legC6 PE=4 SV=1	1
Q5ZU32	15	Q5ZU32_LEGPH UVB-resistance protein UVR8 OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legG1 PE=4 SV=1	1
Q5ZU45	16	Q5ZU45_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1963 PE=4 SV=1	1
Q5ZRL9	17	Q5ZRL9_LEGPH Coiled-coil containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legC8 PE=4 SV=1	1
Q87W07	18	Q87W07_PSESM Type III effector HopI1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopI1 PE=4 SV=1	1
Q5ZSB6	19	Q5ZSB6_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2603 PE=4 SV=1	1
Q5ZWI4	19	Q5ZWI4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1101 PE=4 SV=1	1
Q5ZSQ3	19	Q5ZSQ3_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2464 PE=1 SV=1	1
Q5ZYH0	20	Q5ZYH0_LEGPH Putative ankyrin-repeat containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA9 PE=4 SV=1	1
Q5ZTE7	21	Q5ZTE7_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA2 PE=4 SV=1	1
Q5ZUG2	22	Q5ZUG2_LEGPH Coiled coil domain protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1836 PE=4 SV=1	1
Q5ZWH5	23	Q5ZWH5_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1110 PE=4 SV=1	1
Q5ZV42	24	Q5ZV42_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1598 PE=4 SV=1	1
Q5ZVZ8	25	Q5ZVZ8_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1290 PE=4 SV=1	1
Q5ZSR1	26	Q5ZSR1_LEGPH Ankyrin repeat-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legA15 PE=4 SV=1	1
Q5ZWE0	26	Q5ZWE0_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1145 PE=4 SV=1	1
Q5ZUE7	27	Q5ZUE7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1851 PE=4 SV=1	1
Q5ZZC1	29	Q5ZZC1_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0090 PE=4 SV=1	1
Q5ZYK7	29	Q5ZYK7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0365 PE=4 SV=1	1
Q5ZT37	30	Q5ZT37_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2328 PE=4 SV=1	1
P0C2N1	31	YOPT1_YEREN Cysteine protease yopT1 OS=Yersinia enterocolitica GN=yopT1 PE=3 SV=1	1
P27475	31	YOPT_YEREN Cysteine protease yopT OS=Yersinia enterocolitica GN=yopT PE=3 SV=2	1
O68703	31	YOPT_YERPE Cysteine protease yopT OS=Yersinia pestis GN=yopT PE=1 SV=1	1
Q93RN4	31	YOPT_YERPS Cysteine protease yopT OS=Yersinia pseudotuberculosis GN=yopT PE=1 SV=2	1
Q08370	32	HRMA_PSESY Protein hrmA OS=Pseudomonas syringae pv. syringae GN=hrmA PE=4 SV=1	1
Q5ZYT6	33	Q5ZYT6_LEGPH SdbA OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0275 PE=4 SV=1	1
Q5ZTB4	34	Q5ZTB4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2248 PE=4 SV=1	1
Q5ZYY4	34	Q5ZYY4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0227 PE=4 SV=1	1
Q5ZY53	35	Q5ZY53_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0519 PE=4 SV=1	1
Q5ZT38	36	Q5ZT38_LEGPH CG18304 gene product OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2327 PE=4 SV=1	1
Q5ZVF2	36	Q5ZVF2_LEGPH Coiled-coil-containing protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=legC5 PE=4 SV=1	1
Q5ZVE9	36	Q5ZVE9_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1491 PE=4 SV=1	1
Q5ZSU4	37	Q5ZSU4_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2422 PE=4 SV=1	1
Q5ZZ20	38	Q5ZZ20_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0191 PE=4 SV=1	1
Q5ZSV5	39	Q5ZSV5_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2411 PE=4 SV=1	1
Q87WF7	40	Q87WF7_PSESM Type III effector HopT1-2 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopT1-2 PE=4 SV=1	1
Q5ZSN5	41	Q5ZSN5_LEGPH SdbC OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2482 PE=4 SV=1	1
Q5ZV00	41	Q5ZV00_LEGPH SidB OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sidB PE=4 SV=1	1
Q5ZSX5	41	Q5ZSX5_LEGPH SdbC OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=sdbC PE=4 SV=1	1
Q5ZU59	42	Q5ZU59_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg1949 PE=4 SV=1	1
Q5ZRK7	43	Q5ZRK7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2874 PE=4 SV=1	1
Q5ZYS7	44	Q5ZYS7_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0284 PE=4 SV=1	1
Q5ZYS6	44	Q5ZYS6_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0285 PE=4 SV=1	1
Q5ZXN5	45	Q5ZXN5_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg0696 PE=4 SV=1	1
Q87X57	46	Q87X57_PSESM Type III effector HopE1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopE1 PE=4 SV=1	1
Q87W42	47	Q87W42_PSESM Type III effector HopG1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopG1 PE=4 SV=1	1
Q5ZSK9	48	Q5ZSK9_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2508 PE=4 SV=1	1
B8F8V9	48	B8F8V9_DESAA Putative uncharacterized protein OS=Desulfatibacillum alkenivorans (strain AK-01) GN=Dalk_0282 PE=4 SV=1	1
Q5ZTK6	48	Q5ZTK6_LEGPH Putative uncharacterized protein OS=Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) GN=lpg2155 PE=4 SV=1	1
Q56921	49	Q56921_YEREN Protein kinase A OS=Yersinia enterocolitica GN=ypkA PE=4 SV=1	1
O85239	49	O85239_YEREN Protein kinase YopO OS=Yersinia enterocolitica GN=yopO PE=4 SV=1	1
Q05608	49	YPKA_YERPS Protein kinase ypkA OS=Yersinia pseudotuberculosis GN=ypkA PE=1 SV=2	1
Q9RI12	49	YPKA_YERPE Protein kinase ypkA OS=Yersinia pestis GN=ypkA PE=3 SV=1	1
Q88A09	50	Q88A09_PSESM Type III effector HopH1 OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=hopH1 PE=4 SV=1	1
